country;year;life_ladder;log_gdp_per_capita;social_support;life_expec;freedom_to_make_life_choices;generosity;perceptions_of_corruption;positive_affect;negative_affect;confidence_in_national_government;democratic_quality;delivery_quality;standard_deviation_of_ladder_by_country_year;standard_deviation_mean_of_ladder_by_country_year;gini_index_world_bank_estimate;gini_index_world_bank_estimate_average_2000_15;gini_of_household_income_reported_in_gallup_by_wp5_year;continent;country_code;populacao_2020
Dominican Republic;2017;5,60520267486572;9,59457397460938;0,894368112087250;63,4959945678711;0,855359017848969;-0,12709218263626099;0,760489642620087;0,738943636417389;0,274745523929596;0,459901332855225;NA;NA;3,24083709716797;0,578183770179749;NA;0,488687500000000;0,480913221836090;Americas;214;10847,904
Ecuador;2017;5,83951854705811;9,22326087951660;0,848941743373871;67,3420639038086;0,879128158092499;-0,16995546221733093;0,733588755130768;0,829141974449158;0,314343482255936;0,640512883663177;NA;NA;2,69317531585693;0,461198180913925;NA;0,505928571428571;0,413334310054779;Americas;218;17643,060
Egypt;2017;3,92934417724609;9,26022338867188;0,638226389884949;61,5737915039062;0,592504799365997;-0,16194474697113037;NA;0,539322555065155;0,414493799209595;NA;NA;NA;2,28986072540283;0,582759022712708;NA;0,312200000000000;0,380814850330353;Africa;818;102334,403
El Salvador;2017;6,33931827545166;9,00117683410645;0,828952610492706;64,3113708496094;0,757827341556549;-0,18029096722602844;0,777748584747314;0,848850607872009;0,268448352813721;0,270235061645508;NA;NA;2,47715592384338;0,390760630369186;NA;0,461187500000000;0,402195245027542;Americas;222;6486,201
Estonia;2017;5,93839597702026;10,28584480285645;0,935686349868774;67,2843856811523;0,861749231815338;-0,10958832502365112;0,668402254581451;0,805217981338501;0,160164102911949;0,405946254730225;NA;NA;1,85183990001678;0,311841756105423;NA;0,333000000000000;0,396599620580673;Europe;233;1326,539
Ethiopia;2017;4,18031549453735;7,43928194046021;0,733539760112762;56,7282676696777;0,717101216316223;0,01187122426927090;0,756898939609528;0,608514785766602;0,304436177015305;0,768354296684265;NA;NA;1,82991588115692;0,437745869159698;NA;0,315000000000000;0,420267492532730;Africa;231;114963,583
Finland;2017;7,78825187683105;10,61233806610107;0,963826417922974;71,6969604492188;0,962198972702026;-0,01217365544289351;0,192412778735161;0,787137091159821;0,176065787672997;0,597538590431213;NA;NA;1,41639828681946;0,181863442063332;NA;0,275909090909091;0,425614446401596;Europe;246;5540,718
France;2017;6,63522243499756;10,56077384948730;0,931494593620300;72,5889358520508;0,833890140056610;-0,13358496129512787;0,601486027240753;0,762097775936127;0,241983935236931;0,374793529510498;NA;NA;1,63106441497803;0,245819106698036;NA;0,320300000000000;0,372855246067047;Europe;250;65273,512
Gabon;2017;4,78238296508789;9,71563148498535;0,806941151618958;57,1261672973633;0,652359545230865;-0,25083220005035400;0,868305504322052;0,634047150611877;0,446124285459518;0,286989241838455;NA;NA;2,45713114738464;0,513788044452667;NA;0,422000000000000;0,589230179786682;Africa;266;2225,728
Georgia;2017;4,45077466964722;9,16909790039062;0,590495169162750;64,3474502563477;0,820908784866333;-0,23142260313034058;0,589631974697113;0,581127703189850;0,209639608860016;0,296396225690842;NA;NA;1,77507996559143;0,398824959993362;NA;0,403437500000000;0,454276502132416;Asia;268;3989,175
